Ball,Number
second,21
second,12
second,30
second,23
second,12
second,6
second,3
second,14
second,25
second,29
second,21
second,25
second,16
second,47
second,19
second,10
second,21
second,28
second,36
second,22
second,31
second,10
second,12
second,33
second,17
second,3
second,32
second,58
second,8
second,34
second,12
second,53
second,18
second,8
second,16
second,20
second,3
second,33
second,44
second,12
second,29
second,37
second,31
second,35
second,40
second,9
second,23
second,27
second,23
second,29
second,15
second,43
second,44
second,27
second,37
second,12
second,32
second,47
second,49
second,30
second,33
second,12
second,9
second,33
second,24
second,41
second,21
second,4
second,11
second,53
second,23
second,4
second,31
second,18
second,6
second,29
second,42
second,27
second,35
second,26
second,35
second,15
second,22
second,26
second,17
second,28
second,23
second,22
second,20
second,12
second,27
second,5
second,29
second,18
second,14
second,8
second,23
second,43
second,9
second,19
second,27
second,17
second,20
second,8
second,41
second,32
second,12
second,21
second,21
second,13
second,41
second,32
second,6
second,37
second,19
second,29
second,26
second,43
second,23
second,9
second,8
second,43
second,17
second,5
second,6
second,18
second,11
second,35
second,13
second,23
second,15
second,32
second,2
second,10
second,10
second,17
second,8
second,45
second,16
second,23
second,29
second,32
second,27
second,15
second,17
second,21
second,33
second,19
second,52
second,20
second,25
second,14
second,34
second,36
second,6
second,10
second,19
second,31
second,6
second,49
second,30
second,8
second,2
second,13
second,17
second,12
second,12
second,25
second,8
second,29
second,36
second,19
second,7
second,12
second,42
second,25
second,28
second,29
second,38
second,9
second,32
second,11
second,11
second,19
second,33
second,14
second,8
second,42
second,29
second,28
second,21
second,25
second,12
second,21
second,54
second,57
second,14
second,23
second,22
second,53
second,17
second,2
second,61
second,39
second,18
second,28
second,13
second,15
second,54
second,41
second,25
second,7
second,34
second,15
second,43
second,21
second,11
second,22
second,27
second,18
second,23
second,10
second,41
second,21
second,10
second,7
second,9
second,28
second,29
second,14
second,45
second,20
second,10
second,28
second,25
second,23
second,21
second,54
second,6
second,19
second,42
second,16
second,29
second,14
second,22
second,18
second,50
second,10
second,19
second,18
second,17
second,24
second,24
second,8
second,33
second,4
second,57
second,12
second,44
second,13
second,17
second,30
second,25
second,15
second,26
second,39
second,13
second,34
second,23
second,7
second,21
second,9
second,28
second,33
second,25
second,24
second,61
second,18
second,36
second,9
second,3
second,20
second,35
second,24
second,36
second,20
second,30
second,26
second,13
second,37
second,28
second,32
second,6
second,14
second,14
second,6
second,35
second,22
second,41
second,49
second,37
second,3
second,49
second,23
second,12
second,10
second,45
second,48
second,18
second,24
second,20
second,14
second,21
second,28
second,15
second,7
second,19
second,15
second,24
second,30
second,21
second,16
second,28
second,19
second,32
second,51
second,40
second,2
second,10
second,9
second,42
second,37
second,22
second,46
second,13
second,22
second,21
second,9
second,33
second,10
second,32
second,22
second,11
second,20
second,31
second,21
second,18
second,23
second,15
second,39
second,19
second,22
second,14
second,36
second,20
second,32
second,15
second,31
